"Study","rho","n","beta.Direct","beta.Inverse","beta.Combined","SD.Direct","SD.Inverse","SD.Combined","ASE.Direct","ASE.Inverse","ASE.Combined","size/power.Direct","size/power.Inverse","size/power.Combined","correlation1","correlation2","correlation3"
"Experimental","0.5","1050","-0.0331958377278673","-0.0274070991310215","-0.0205733224744869","0.528452294904176","0.523391458986525","0.51757212417488","0.519940110593997","0.515516144094434","0.508899259274325","0.057","0.052","0.053","0.000539387003850782","-0.445299679310165","0.986165379810486"
"Experimental","0.5","1200","-0.52733269148228","-0.517257638033191","-0.51124472422971","0.494858112149814","0.490480381517879","0.487174694438742","0.481567500402249","0.478257663734385","0.473047520291277","0.186","0.182","0.185","0.989596834996648","-0.437348500852165","0.00662880995982167"
"Experimental","0.5","1200","1.0232246384515","1.00158202488086","0.995312654258541","0.545636338693307","0.537860170889606","0.536222636707985","0.536228933043999","0.53114683054229","0.524222207467616","0.474","0.477","0.476","-0.429675526636904","0.985169699274496","-0.447228548956876"
"Experimental","0.5","1200","0.00299072185000654","0.0114363204647485","0.0170356653656854","0.487540897575847","0.480717521622371","0.477923107674245","0.485020349839662","0.481348203164214","0.475739038061772","0.049","0.049","0.049","0.00445739632519466","-0.448137415375141","0.986345153277697"
"Experimental","0.5","1350","-0.533194581972256","-0.524285475970203","-0.518639361706905","0.453147035487069","0.449123191871195","0.447786311037927","0.453777700196849","0.450565629008125","0.44591003613032","0.223","0.213","0.217","0.987238584698902","-0.450772603725867","0.0196219075142864"
"Experimental","0.5","1350","1.02295861432901","1.0070284345738","0.999426013986759","0.514224667647802","0.511313190688836","0.50856282546291","0.505527276887948","0.500730087251392","0.494298423823753","0.527","0.531","0.538","-0.443936726714042","0.985569634892081","-0.461385354737848"
"Experimental","0.5","1350","0.00418284215436242","0.0102924332023357","0.016591989737754","0.472682188723298","0.466275056929054","0.464311894677651","0.457216678340833","0.453564513318066","0.448305648303197","0.054","0.057","0.054","0.0138890363463579","-0.455584173239702","0.98760593890482"
"Experimental","0.5","1500","-0.481871945306494","-0.476609821290967","-0.47038754532908","0.437198976510642","0.432727058913297","0.429907956896319","0.430274965862944","0.427175850522937","0.422725434358556","0.204","0.207","0.203","0.98776680772228","-0.411828930817901","-0.0507380242101861"
"Experimental","0.5","1500","1.00542300494188","0.9946207230253","0.988374598450704","0.475046013453571","0.469009399717057","0.467898216842727","0.479322657452686","0.474708672901347","0.468770871186948","0.544","0.542","0.543","-0.417541449804306","0.985172803867752","-0.376641750977437"
"Experimental","0.5","1500","0.0105013651762104","0.0107465950120886","0.0164559110224306","0.43137571983969","0.429711108035187","0.42763328465942","0.433785281634558","0.430227470248797","0.425373341702599","0.041","0.045","0.046","-0.0442622278356336","-0.372080523828569","0.986370952548236"
"Observational","0","150","-0.525731349013868","-0.479105074288831","-0.483351990129858","1.32413235839959","1.3142729512209","1.2664249287458","1.32061125345263","1.32028963763263","1.23894900444023","0.059","0.06","0.078","0.949735400999623","-7.82234242314422e-05","0.0231686384771372"
"Observational","0","150","1.15179542452602","1.0986271983034","1.1126073705176","1.41882124370178","1.42350439182462","1.37868288324869","1.31911367977379","1.32011354614585","1.20463294280564","0.139","0.146","0.183","0.00923930316525362","0.94861104492197","-0.00804526152106369"
"Observational","0","150","0.0110036991197471","0.0685292220123717","0.0493484608117559","1.453987727492","1.45399833209435","1.39934946581517","1.33258886486791","1.33781478290363","1.25443312467241","0.061","0.058","0.082","0.00688749266187918","-0.0132946966129895","0.951345721456946"
"Observational","0","300","-0.524712596978129","-0.50544793136316","-0.505884759283405","0.908358033131328","0.911803203201409","0.900318841979071","0.894827633544088","0.895646412891814","0.868230709192406","0.095","0.095","0.095","0.962597187328724","0.00731684064875889","-0.0145863168865257"
"Observational","0","300","1.06131983466297","1.0436605504856","1.04377610206471","0.903461163669172","0.911850910163051","0.895304567089775","0.893909289487535","0.895294995237726","0.859870960449175","0.227","0.22","0.24","0.0168990361957266","0.967316098373714","-0.0363649196474499"
"Observational","0","300","-0.00365692286567288","0.0274551471505631","0.0276227244695174","0.902153227374645","0.901957448870231","0.873761771310615","0.901856651491469","0.903656548793554","0.879174533347053","0.051","0.05","0.051","-0.00142476562583327","-0.041605867599004","0.96601150150343"
"Observational","0","450","-0.560752070832513","-0.533198138193099","-0.54633063465692","0.752795284009145","0.757543814066598","0.73423730560126","0.723612124990295","0.723653919971865","0.708082738672818","0.134","0.136","0.136","0.971487664219117","-0.00305486187925642","0.000420276076328104"
"Observational","0","450","1.00951793204832","0.987381378437611","0.993738896393165","0.724876578366963","0.722870028881811","0.711981735231959","0.719946513319125","0.720327069648183","0.699626096191614","0.286","0.279","0.296","-0.0161405602796669","0.968994715218498","0.0388307515410373"
"Observational","0","450","-0.000688782192943467","0.0180571124453965","0.0211599730520615","0.695404784989998","0.684748510123866","0.671823925952849","0.726675709371838","0.727249420745888","0.713319547685687","0.04","0.035","0.036","-0.00159106491952208","0.0299275630316464","0.966399784556975"
"Observational","0","600","-0.50741873736598","-0.489267363654055","-0.496171532820155","0.635036656468059","0.635008648912955","0.623432061653814","0.621851034892012","0.622315472248402","0.61147031518504","0.137","0.147","0.141","0.972105244724231","0.0312666135932952","0.029788534209975"
"Observational","0","600","1.01714762535481","0.988326146119769","0.99748156006687","0.640776310837351","0.638706073946346","0.630416364125089","0.620073268259099","0.620738835754492","0.605369988858723","0.374","0.353","0.372","0.0371628668839892","0.97280479844157","-0.0181830915100961"
"Observational","0","600","-0.00531551550180371","0.0160869176810312","0.0141947063393427","0.63366202920113","0.637521913490902","0.619077683670626","0.625294096548936","0.626449281164801","0.616513602570516","0.06","0.059","0.053","0.0313854936531872","-0.00100224088526668","0.973495682120856"
"Observational","0","750","-0.470496706943559","-0.456904272140077","-0.468800660043469","0.548164704798564","0.549370295849602","0.54072011695272","0.554122203062941","0.554114583448938","0.545477703614893","0.126","0.123","0.122","0.97323712158969","-0.0730171877996003","-0.0214285135800023"
"Observational","0","750","1.02944819108069","1.00636716000823","1.01528640201443","0.557777484339831","0.558687173382285","0.55140139841446","0.553763475082771","0.553627685592009","0.541471362940492","0.456","0.444","0.461","-0.0602553974278991","0.97449548669553","0.0222312131251342"
"Observational","0","750","0.000972476179364189","0.0171426743549554","0.0103334339367807","0.56632799926352","0.5702352479014","0.558884810454811","0.557624286084165","0.558661016725368","0.550887768575645","0.056","0.055","0.056","-0.0321477223965764","0.0281325033613632","0.973773886462254"
"Observational","0","900","-0.518703376683015","-0.505180657618769","-0.512441040847377","0.510517410461738","0.516423436353246","0.50662552873479","0.505403663001602","0.505135060364977","0.497980260402917","0.166","0.165","0.168","0.976078877727977","-0.0458127986927004","0.0174509791665414"
"Observational","0","900","1.018179382263","0.996175242654974","1.00288222814194","0.497165809540982","0.497126675078472","0.491271023736042","0.503688200773723","0.503645292096258","0.493618443467739","0.53","0.509","0.534","-0.0384128182249662","0.971278642093997","-0.0257907984154195"
"Observational","0","900","0.00389526682738926","0.0178356015721662","0.0203855097880002","0.49615966513918","0.505282967174306","0.488797994281576","0.508076381568498","0.508695542207123","0.502107905945826","0.048","0.052","0.046","0.0120114105116425","-0.0461196576874819","0.97158760592264"
"Observational","0","1050","-0.492408297015957","-0.473074177088557","-0.482678019577946","0.463404296700561","0.463442494022847","0.458427646790814","0.46680802836073","0.466504273220183","0.460289631377566","0.189","0.18","0.192","0.973939954062354","0.00809947964542413","0.0349038581678661"
"Observational","0","1050","1.00023766985894","0.981240316285675","0.985492773962045","0.481787883521713","0.480817029264429","0.477220393565595","0.465675705886335","0.465582697034718","0.456710769539999","0.574","0.554","0.58","0.00886905144322641","0.972785243043314","-0.0283469575779894"
"Observational","0","1050","-0.0321593807800299","-0.0226501038731667","-0.020016480691977","0.467120704221181","0.470058349370511","0.458754020929584","0.469396822000656","0.469934468850467","0.464199412402143","0.045","0.049","0.05","0.0191108925654317","-0.0232433236638163","0.97513204726865"
"Observational","0","1200","-0.481856369264458","-0.468697143547739","-0.476887833198179","0.441746578270112","0.439488964778699","0.434854909796849","0.435969647189943","0.435958247789421","0.430498612121981","0.205","0.191","0.205","0.977182324995012","-0.0026293899535645","0.0195443495259215"
"Observational","0","1200","1.01150587749581","0.989748165673852","0.99608037995141","0.430599230234956","0.428608244789494","0.424865581188047","0.434837594576709","0.435071771025759","0.427163886732995","0.639","0.626","0.645","0.00712440207669915","0.9731912120445","0.0348345548685208"
"Observational","0","1200","0.00313663382230165","0.0122055310548657","0.00992002593365578","0.442964761847622","0.442559528592478","0.437135183160793","0.438530446118669","0.439228893912681","0.434373938112357","0.053","0.048","0.051","0.0138170597039165","0.0309247615937785","0.976462534212071"
"Observational","0","1350","-0.506851524290194","-0.488462749130035","-0.497226617893018","0.41321864115271","0.415283239002875","0.408233124696053","0.410818467976344","0.411022037308978","0.406270473945712","0.231","0.225","0.229","0.976942523161368","-0.0268825811571476","0.0299070455557278"
"Observational","0","1350","1.02779636435107","1.00490550050136","1.01229650173398","0.407656708055844","0.409493641784599","0.404975326681298","0.409590761970428","0.40987195829571","0.40272124642086","0.715","0.686","0.712","-0.0287351055634842","0.975005497478152","0.0180918505978847"
"Observational","0","1350","-0.00952317949897616","0.00269565107632731","0.000275955926531338","0.421995178407169","0.420038698818441","0.41529789449342","0.412975189535124","0.413813234939957","0.409472972761788","0.05","0.05","0.049","0.0139950893305752","0.0226102876733767","0.977214297797589"
"Observational","0","1500","-0.500331167143672","-0.486844635275266","-0.494393597657929","0.388643205272248","0.385135016907383","0.380435624111299","0.389257753417504","0.389260794661373","0.384986578015922","0.251","0.235","0.249","0.973083894487523","-0.0105471392931472","0.0721736749689255"
"Observational","0","1500","1.00312811656517","0.980091320787795","0.98887298391176","0.401485376482078","0.396972274255603","0.395462082752265","0.387796342950083","0.387928714236399","0.381467910451298","0.731","0.721","0.736","-0.0109112155725302","0.977470427719318","-0.0195986231129004"
"Observational","0","1500","-0.0263631295665377","-0.0102248526841585","-0.0146350312638433","0.373594986913102","0.374691573161358","0.368144013779673","0.391104721540581","0.391598305227675","0.387843815007826","0.042","0.042","0.037","0.0702777350604073","-0.036235700982827","0.973155932659428"
"Observational","0.5","150","-0.538977190011197","-0.513863874026365","-0.513262917907603","1.53043314939823","1.53565537150396","1.46074898654047","1.49715552116713","1.49878034345738","1.42287860637087","0.06","0.073","0.075","0.950196696808246","-0.433293212119","0.0392422860877682"
"Observational","0.5","150","1.14541022402691","1.08189890237945","1.09077544793339","1.76867821623456","1.78596959819538","1.69815518550889","1.67503903979142","1.67351424918561","1.56994031903427","0.107","0.114","0.13","-0.424441563073854","0.945163360980682","-0.433167483984452"
"Observational","0.5","150","-0.0790173661637983","-0.0334251901109597","-0.0265800314085211","1.54182046797836","1.50412187132996","1.43188732933054","1.50581192062861","1.5074290697972","1.42730492948002","0.041","0.042","0.043","0.0304615430164189","-0.427525330322113","0.947671137835268"
"Observational","0.5","300","-0.493511220336111","-0.471766587204188","-0.48438649680441","1.08424406943824","1.07755316189258","1.04874920062474","1.01598529433824","1.0195117023258","0.989373596034193","0.082","0.079","0.08","0.970626200795203","-0.462159563408433","0.0320134533908688"
"Observational","0.5","300","0.999431751900487","0.963537795987048","0.969944453309008","1.20883994548238","1.1960392958998","1.16389291951432","1.13055788289881","1.13235284311353","1.09433625314975","0.154","0.156","0.159","-0.482505171504055","0.968077490500175","-0.417849447349438"
"Observational","0.5","300","0.0010682636864721","0.0285265892064604","0.0319763347125017","1.06881605537888","1.05866059426897","1.02627806971025","1.02538255089014","1.02752142273288","0.998336187150258","0.051","0.056","0.055","0.0320442484184279","-0.412064567562027","0.97030464563114"
"Observational","0.5","450","-0.500081091966088","-0.490203351562414","-0.497025653541317","0.835189572706929","0.836214118978007","0.818059023882152","0.817735795591342","0.820131749183679","0.803086849991576","0.093","0.098","0.104","0.976565699612385","-0.436572607585449","0.0215285502277103"
"Observational","0.5","450","1.03486481744584","1.01702609108233","1.01589789494196","0.935333525613412","0.93821988627793","0.919126286198217","0.90901789238789","0.909068857776085","0.887277587744625","0.211","0.214","0.223","-0.434265134551375","0.970789003833373","-0.452958695184567"
"Observational","0.5","450","-0.0268352097073586","-0.0190191328576065","-0.00784401625346279","0.870990687937872","0.860868959046113","0.842589643679352","0.82292355969662","0.823236797256255","0.806590373566922","0.07","0.069","0.07","0.0128011071451997","-0.460324234576886","0.976862582412824"
